ticket,open_time,close_time,signal_time,origin_bar,leg,entry_bar,exit_bar,entry_price,exit_price,exit_reason,pl_pct,R,bars_held,row_id,chunk,probability_random_kfold,fold_random_kfold,probability_grouped_kfold,fold_grouped_kfold,probability_walk_forward,fold_walk_forward,probability_purged_walk_forward,fold_purged_walk_forward
7044,2021-09-09 15:15:00,2021-09-09 18:00:00,2021-09-09 15:00:00,88882,1,88883,88894,46963.5,46681.719,Stop,-0.6,-1,11,11649,3,0.503211798411,4,0.550862485612,4,0.56440946937,2,0.514849315909,2
7045,2021-09-09 15:30:00,2021-09-09 18:15:00,2021-09-09 15:00:00,88882,2,88884,88895,46866.2,46585.0028,Stop,-0.6,-1,11,11650,3,0.428871139202,2,0.405581672823,4,0.561837775267,2,0.410703638239,2
7046,2021-09-09 15:45:00,2021-09-09 18:15:00,2021-09-09 15:00:00,88882,3,88885,88895,46813.1,46532.2214,Stop,-0.6,-1,10,11651,3,0.438915060741,2,0.393495473974,4,0.63535692885,2,0.578015401681,2
7047,2021-09-09 21:00:00,2021-09-10 07:15:00,2021-09-09 20:30:00,88904,2,88906,88947,46203.7,46158.5186667,Stop,-0.0977872623477,-0.162978770579,41,11658,3,0.279677344718,2,0.268820933815,4,0.305296193603,2,0.351910651625,2
7048,2021-09-09 21:15:00,2021-09-10 07:15:00,2021-09-09 20:30:00,88904,3,88907,88947,46284.5,46162.9942222,Stop,-0.262519369935,-0.437532283226,40,11659,3,0.22362740791,4,0.195613685702,4,0.197312440043,2,0.357474780301,2
7049,2021-09-10 07:45:00,2021-09-10 08:30:00,2021-09-10 07:45:00,88949,0,88949,88952,46167.9,45890.8926,Stop,-0.6,-1,3,11660,3,0.316085808216,5,0.363660384996,1,0.335499562443,2,0.386885009061,2
7050,2021-09-10 11:15:00,2021-09-10 12:45:00,2021-09-10 11:15:00,88963,0,88963,88969,46107.2,45830.5568,Stop,-0.6,-1,6,11664,3,0.287306094516,3,0.355974290516,3,0.387821648133,2,0.391653256466,2
7051,2021-09-12 03:00:00,2021-09-12 20:30:00,2021-09-12 03:00:00,89122,0,89122,89192,45272.7,45612.8786667,Stop,0.751399113962,1.2523318566,70,11668,3,0.738527565274,1,0.549329677367,3,0.437782902336,2,0.592605171827,2
7052,2021-09-12 03:30:00,2021-09-12 20:30:00,2021-09-12 03:00:00,89122,2,89124,89192,45260.7,45618.3253333,Stop,0.790145387352,1.31690897892,68,11670,3,0.623351774908,4,0.373592053063,3,0.421509022965,2,0.437079028744,2
7053,2021-09-12 20:45:00,2021-09-12 20:45:00,2021-09-12 20:45:00,89193,0,89193,89193,45259.6,44988.0424,Stop,-0.6,-1,0,11672,3,0.334869505899,2,0.282262335172,4,0.472716994627,2,0.383251839461,2
