leg,origin_bar,entry_time,entry_price,atr_frozen,momentum_prev,momentum_prev2,vwap_prev,vwap_prev2,upper_barrier,lower_barrier,label,bars_to_label,exit_touch_time
0,102570,2022-02-01 02:00:00,38202.30000000,154.20777778,99.17884254,99.52573468,37696.18987205,37694.15172747,38788.28955556,37973.08620000,1,29,2022-02-01 09:04:00
1,102570,2022-02-01 02:15:00,38257.80000000,154.59111111,99.17884254,99.52573468,37696.18987205,37694.15172747,38845.24622222,38028.25320000,1,28,2022-02-01 09:04:00
2,102570,2022-02-01 02:30:00,38335.60000000,155.55888889,99.17884254,99.52573468,37696.18987205,37694.15172747,38926.72377778,38105.58640000,1,27,2022-02-01 09:04:00
3,102570,2022-02-01 02:45:00,38416.00000000,156.09777778,99.17884254,99.52573468,37696.18987205,37694.15172747,39009.17155556,38185.50400000,1,26,2022-02-01 09:05:00
0,102600,2022-02-01 09:30:00,38440.90000000,164.51777778,100.06012447,100.93577896,37828.14298949,37816.57243988,39066.06755556,38210.25460000,0,2,2022-02-01 09:57:00
1,102600,2022-02-01 09:45:00,38250.10000000,165.98777778,100.06012447,100.93577896,37828.14298949,37816.57243988,38880.85355556,38020.59940000,1,17,2022-02-01 13:51:00
2,102600,2022-02-01 10:00:00,38217.40000000,165.80444444,100.06012447,100.93577896,37828.14298949,37816.57243988,38847.45688889,37988.09560000,1,15,2022-02-01 13:43:00
0,102602,2022-02-01 10:00:00,38217.40000000,165.80444444,99.93306017,99.99633999,37838.45811136,37834.69256102,38847.45688889,37988.09560000,1,15,2022-02-01 13:43:00
3,102600,2022-02-01 10:15:00,38216.00000000,165.52888889,100.06012447,100.93577896,37828.14298949,37816.57243988,38845.00977778,37986.70400000,1,14,2022-02-01 13:43:00
1,102602,2022-02-01 10:15:00,38216.00000000,165.52888889,99.93306017,99.99633999,37838.45811136,37834.69256102,38845.00977778,37986.70400000,1,14,2022-02-01 13:43:00
2,102602,2022-02-01 10:30:00,38131.70000000,163.22555556,99.93306017,99.99633999,37838.45811136,37834.69256102,38751.95711111,37902.90980000,1,12,2022-02-01 13:26:00
3,102602,2022-02-01 10:45:00,38203.30000000,160.15444444,99.93306017,99.99633999,37838.45811136,37834.69256102,38811.88688889,37974.08020000,1,11,2022-02-01 13:26:00
0,102622,2022-02-01 15:00:00,38510.80000000,159.65777778,100.40960846,100.72099863,38046.41537263,38036.66365713,39117.49955556,38279.73520000,0,1,2022-02-01 15:01:00
