ticket,signal_time,leg,open_time,close_time,entry_price,exit_price,exit_reason,pl_pct,R,bars_held
24312,2024-11-29 21:15:00,1,2024-11-29 21:30:00,2024-11-29 21:30:00,97258.7000,97330.7000,Friday,0.0740,0.1234,0
24313,2024-11-29 21:00:00,2,2024-11-29 21:30:00,2024-11-29 21:30:00,97258.7000,97330.7000,Friday,0.0740,0.1234,0
24314,2024-11-29 21:45:00,0,2024-11-29 21:45:00,2024-11-29 21:45:00,97331.2000,97400.7000,Friday,0.0714,0.1190,0
24315,2024-11-29 21:15:00,2,2024-11-29 21:45:00,2024-11-29 21:45:00,97331.2000,97400.7000,Friday,0.0714,0.1190,0
24316,2024-11-29 21:00:00,3,2024-11-29 21:45:00,2024-11-29 21:45:00,97331.2000,97400.7000,Friday,0.0714,0.1190,0
24317,2024-11-29 22:00:00,0,2024-11-29 22:00:00,2024-11-29 22:00:00,97400.7000,97381.9000,Friday,-0.0193,-0.0322,0
24318,2024-11-29 21:45:00,1,2024-11-29 22:00:00,2024-11-29 22:00:00,97400.7000,97381.9000,Friday,-0.0193,-0.0322,0
24319,2024-11-29 21:15:00,3,2024-11-29 22:00:00,2024-11-29 22:00:00,97400.7000,97381.9000,Friday,-0.0193,-0.0322,0
24320,2024-11-29 22:15:00,0,2024-11-29 22:15:00,2024-11-29 22:15:00,97381.6000,97330.3000,Friday,-0.0527,-0.0878,0
24321,2024-11-29 22:00:00,1,2024-11-29 22:15:00,2024-11-29 22:15:00,97381.6000,97330.3000,Friday,-0.0527,-0.0878,0
24322,2024-11-29 21:45:00,2,2024-11-29 22:15:00,2024-11-29 22:15:00,97381.6000,97330.3000,Friday,-0.0527,-0.0878,0
24323,2024-11-29 22:15:00,1,2024-11-29 22:30:00,2024-11-29 22:30:00,97333.6000,97428.7000,Friday,0.0977,0.1628,0
24324,2024-11-29 22:00:00,2,2024-11-29 22:30:00,2024-11-29 22:30:00,97333.6000,97428.7000,Friday,0.0977,0.1628,0
24325,2024-11-29 21:45:00,3,2024-11-29 22:30:00,2024-11-29 22:30:00,97333.6000,97428.7000,Friday,0.0977,0.1628,0
24326,2024-11-29 22:15:00,2,2024-11-29 22:45:00,2024-11-29 22:45:00,97431.6000,97307.1000,Friday,-0.1278,-0.2130,0
24327,2024-11-29 22:00:00,3,2024-11-29 22:45:00,2024-11-29 22:45:00,97431.6000,97307.1000,Friday,-0.1278,-0.2130,0
24328,2024-11-29 23:00:00,0,2024-11-29 23:00:00,2024-11-29 23:00:00,97296.5000,97209.6000,Friday,-0.0893,-0.1489,0
24329,2024-11-29 22:15:00,3,2024-11-29 23:00:00,2024-11-29 23:00:00,97296.5000,97209.6000,Friday,-0.0893,-0.1489,0
24330,2024-11-29 23:15:00,0,2024-11-29 23:15:00,2024-11-29 23:15:00,97209.6000,97238.5000,Friday,0.0297,0.0495,0
24331,2024-11-29 23:00:00,1,2024-11-29 23:15:00,2024-11-29 23:15:00,97209.6000,97238.5000,Friday,0.0297,0.0495,0
24332,2024-11-29 23:30:00,0,2024-11-29 23:30:00,2024-11-29 23:30:00,97238.5000,97345.2000,Friday,0.1097,0.1829,0
