breakeven_R,atr14_pct,atr_ratio_14_90,vol20,vol200,vol_ratio_20_200,range_pct,dist_ema20_atr,dist_ema50_atr,dist_ema200_atr,ret20_atr,ret50_atr,pos_in_range50,dist_hh20_atr,mom14,mom_diff,vwap_dist_atr,vwap_slope_atr,rsi14,vol_ratio_volume,gap_open_atr,hour,dow,label,entry_time,label_end_time,origin_bar,entry_bar,entry_price,leg,entry_vs_base_R
4.01239976,0.01192569,1.88246492,0.00649071,0.00389264,1.66743101,0.01010688,-1.31933179,-1.00242817,-0.90860279,-2.65338938,0.48810350,0.27295796,-3.05015712,96.98093365,-0.48868903,-0.86328113,-0.01177487,31.70904682,1.04895418,-0.00293842,21,3,1,2025-01-23 21:30:00,2025-01-24 05:59:00,198549,198552,102728.40000000,3,-3.41167407
4.14809294,0.00396718,0.60572080,0.00220769,0.00388051,0.56891819,0.00315556,0.62257221,0.34163101,0.14671045,-0.33569125,-0.85755401,0.34951223,-1.70418530,100.21539142,-0.03267177,0.53376819,0.00079211,54.29759704,0.90460781,-0.00388363,4,4,0,2025-01-24 04:00:00,2025-01-24 16:30:00,198578,198578,103846.90000000,0,0.00000000
4.12893217,0.00404591,0.62060759,0.00218805,0.00388100,0.56378634,0.00317145,0.78878337,0.57323333,0.40166858,-0.47122357,-2.51921542,0.37356234,-1.40725142,100.35350049,0.13810908,0.77905344,0.00577600,56.84690749,0.74085189,-0.00380402,4,4,0,2025-01-24 04:15:00,2025-01-24 16:45:00,198578,198579,103957.10000000,1,0.17686293
4.12932038,0.00396049,0.60744938,0.00215339,0.00387955,0.55506144,0.00244645,0.70210699,0.53399245,0.37671628,-0.90507504,-3.16654810,0.37087798,-1.01098291,100.52298908,0.16948859,0.76086540,0.00520663,60.81773084,0.71377587,-0.00437234,4,4,0,2025-01-24 04:30:00,2025-01-24 17:00:00,198578,198580,103944.60000000,2,0.15680134
4.12251018,0.00414957,0.63749831,0.00231922,0.00389008,0.59618882,0.00551765,1.49727667,1.43645700,1.33220420,0.55690608,-4.86877216,0.46421946,-0.14015008,100.77550741,0.25251832,1.70761055,0.00312546,64.54018827,0.76480489,-0.00323246,4,4,0,2025-01-24 04:45:00,2025-01-24 17:15:00,198578,198581,104372.70000000,3,0.84387048
2.40265882,0.00443497,1.16909572,0.00259138,0.00385313,0.67253757,0.00645395,-2.01667464,-1.56942517,0.41355736,-2.16038229,-1.48621739,0.07252306,-4.97384838,98.46311514,-0.65276588,0.39716226,0.02298916,25.88793586,1.19249935,-0.00989521,21,4,0,2025-01-24 21:00:00,2025-01-25 05:55:00,198646,198646,104814.90000000,0,0.00000000
2.36733263,0.00450961,1.20649651,0.00262897,0.00384733,0.68332184,0.00381292,-1.37428877,-1.03766341,0.85747789,-1.92472291,-0.58879590,0.15996791,-4.42114152,98.80358651,0.34047137,0.81099675,0.03900874,31.64381585,1.22917552,-0.00696675,21,4,0,2025-01-24 21:15:00,2025-01-24 23:17:00,198646,198647,105034.20000000,1,0.34870996
2.35362450,0.00444990,1.19739699,0.00268126,0.00384760,0.69686745,0.00351942,-0.85731952,-0.58328528,1.29666599,-1.53567398,-0.50114389,0.24308063,-4.02922246,98.85668018,0.05309367,1.22556680,0.03711888,32.70629689,0.66595277,0.00384346,21,4,0,2025-01-24 21:30:00,2025-01-24 23:04:00,198646,198648,105246.50000000,2,0.68628919
2.34274391,0.00433244,1.17129832,0.00268672,0.00384888,0.69805182,0.00346435,-1.08691518,-0.88341580,1.00403072,-1.96712002,-0.79435895,0.18471721,-4.46373947,98.55384494,-0.30283524,0.89483798,0.04615553,27.87501435,0.92302169,-0.01471442,21,4,0,2025-01-24 21:45:00,2025-01-24 23:04:00,198649,198649,105092.50000000,0,0.00000000
2.34274391,0.00433244,1.17129832,0.00268672,0.00384888,0.69805182,0.00346435,-1.08691518,-0.88341580,1.00403072,-1.96712002,-0.79435895,0.18471721,-4.46373947,98.55384494,-0.30283524,0.89483798,0.04615553,27.87501435,0.92302169,-0.01471442,21,4,0,2025-01-24 21:45:00,2025-01-24 23:04:00,198646,198649,105092.50000000,3,0.44141307
2.33268923,0.00416259,1.13012102,0.00259354,0.00384686,0.67419520,0.00227455,-1.07278251,-0.93566570,0.98118866,-1.27781951,-1.17950812,0.17521059,-4.70111376,98.27313207,-0.28071287,0.84048585,0.03689006,21.40379135,0.85988468,0.00754483,22,4,0,2025-01-24 22:00:00,2025-01-24 23:04:00,198650,198650,105078.80000000,0,0.00000000
2.33268923,0.00416259,1.13012102,0.00259354,0.00384686,0.67419520,0.00227455,-1.07278251,-0.93566570,0.98118866,-1.27781951,-1.17950812,0.17521059,-4.70111376,98.27313207,-0.28071287,0.84048585,0.03689006,21.40379135,0.85988468,0.00754483,22,4,0,2025-01-24 22:00:00,2025-01-24 23:04:00,198649,198650,105078.80000000,1,-0.02172689
2.34384767,0.00418566,1.13101832,0.00247941,0.00384670,0.64455371,0.00419367,-0.79409682,-0.71235672,1.15177683,-1.84365973,-0.25150109,0.20846370,-4.48317159,98.59872540,0.32559333,0.98181591,0.04171969,25.43799099,0.50130263,-0.00159034,22,4,0,2025-01-24 22:15:00,2025-01-24 23:04:00,198650,198651,105157.70000000,1,0.12514418
2.34384767,0.00418566,1.13101832,0.00247941,0.00384670,0.64455371,0.00419367,-0.79409682,-0.71235672,1.15177683,-1.84365973,-0.25150109,0.20846370,-4.48317159,98.59872540,0.32559333,0.98181591,0.04171969,25.43799099,0.50130263,-0.00159034,22,4,0,2025-01-24 22:15:00,2025-01-24 23:04:00,198649,198651,105157.70000000,2,0.10340097
2.35332329,0.00404731,1.08919863,0.00221996,0.00384968,0.57666190,0.00341719,-1.27215862,-1.26951934,0.60498530,-3.63795105,-0.48327025,0.10918572,-5.23024645,98.66686605,0.06814065,0.39008798,0.04479233,26.09853978,0.32037813,0.00588780,22,4,0,2025-01-24 22:30:00,2025-01-25 05:55:00,198650,198652,104913.40000000,2,-0.26234280
2.35332329,0.00404731,1.08919863,0.00221996,0.00384968,0.57666190,0.00341719,-1.27215862,-1.26951934,0.60498530,-3.63795105,-0.48327025,0.10918572,-5.23024645,98.66686605,0.06814065,0.39008798,0.04479233,26.09853978,0.32037813,0.00588780,22,4,0,2025-01-24 22:30:00,2025-01-25 05:55:00,198649,198652,104913.40000000,3,-0.28403549
2.33931829,0.00371001,1.00442751,0.00232815,0.00384990,0.60473128,0.00248539,-0.64058543,-0.67749078,1.32137155,-2.90773962,-0.06868273,0.21504212,-5.01512045,99.10940361,0.44253756,1.05476748,0.04603760,34.35627504,0.58258051,0.00000000,22,4,0,2025-01-24 22:45:00,2025-01-24 23:04:00,198650,198653,105174.80000000,3,0.15226668
2.35479291,0.00382343,1.02815758,0.00243490,0.00386202,0.63047325,0.00492036,-1.62029835,-1.75518615,0.12018599,-4.38149443,-1.34409792,0.02771761,-6.05456038,98.42281434,-0.68658926,-0.17346088,0.03500523,23.96101679,0.47211417,0.04396232,23,4,0,2025-01-24 23:00:00,2025-01-25 08:38:00,198654,198654,104725.40000000,0,0.00000000
2.37612576,0.00374053,0.99693021,0.00237009,0.00385245,0.61521678,0.00438309,-1.94673713,-2.19999233,-0.36564867,-5.43839070,-2.09084265,0.03389705,-6.69253819,98.69598720,0.27317286,-0.70049251,0.03046153,26.39406475,0.77615362,0.01944018,23,4,0,2025-01-24 23:15:00,2025-01-25 11:45:00,198654,198655,104522.90000000,1,-0.32227139
