ticket,open_time,close_time,signal_time,origin_bar,leg,entry_bar,exit_bar,entry_price,exit_price,exit_reason,pl_pct,R,bars_held,row_id,chunk,probability_random_kfold,fold_random_kfold,probability_grouped_kfold,fold_grouped_kfold,probability_walk_forward,fold_walk_forward,probability_purged_walk_forward,fold_purged_walk_forward
12324,2023-09-18 20:00:00,2023-09-19 10:00:00,2023-09-18 20:00:00,156196,0,156196,156252,26785.2,27170.3388889,Stop,1.43787945914,2.39646576523,56,19720,4,0.535295500446,1,0.37233962883,5,0.110488190711,3,0.196852939644,3
12325,2023-09-18 20:15:00,2023-09-19 10:00:00,2023-09-18 20:00:00,156196,1,156197,156252,26774.1,27170.3346667,Stop,1.47991778124,2.4665296354,55,19721,4,0.523174392417,5,0.406310662162,5,0.0790538890882,3,0.197921729836,3
12326,2023-09-18 20:30:00,2023-09-19 10:00:00,2023-09-18 20:00:00,156196,2,156198,156252,26727.5,27169.8068889,Stop,1.65487564826,2.75812608043,54,19722,4,0.521581510285,2,0.405474141831,5,0.104095928682,3,0.142548157114,3
12327,2023-09-19 10:15:00,2023-09-19 13:45:00,2023-09-19 10:15:00,156253,0,156253,156267,27177,27013.938,Stop,-0.6,-1,14,19724,4,0.667142695697,3,0.543467281201,5,0.68011615776,3,0.682670003935,3
12328,2023-09-19 10:30:00,2023-09-19 13:45:00,2023-09-19 10:15:00,156253,1,156254,156267,27073.2,27007.0146667,Stop,-0.244468084059,-0.407446806764,13,19725,4,0.49134002797,1,0.669428591789,5,0.566664038603,3,0.580537435984,3
12329,2023-09-19 10:45:00,2023-09-19 13:45:00,2023-09-19 10:15:00,156253,2,156255,156267,27160.7,27008.0744444,Stop,-0.561935279855,-0.936558799758,12,19726,4,0.432700239418,5,0.535725364277,5,0.445003309492,3,0.470516653556,3
12330,2023-09-19 11:00:00,2023-09-19 13:45:00,2023-09-19 10:15:00,156253,3,156256,156267,27137,27009.1806667,Stop,-0.471014973407,-0.785024955678,11,19727,4,0.557667284948,3,0.64623647327,5,0.39727124783,3,0.52126885211,3
12331,2023-09-19 14:00:00,2023-09-19 17:00:00,2023-09-19 14:00:00,156268,0,156268,156280,26942.2,27194.7513333,Stop,0.93738200048,1.56230333413,12,19728,4,0.550511450694,1,0.519541983616,1,0.260346617311,3,0.245196915239,3
12332,2023-09-19 14:15:00,2023-09-19 17:00:00,2023-09-19 14:00:00,156268,1,156269,156280,27039,27190.0942222,Stop,0.558801073347,0.931335122245,11,19729,4,0.654712498392,4,0.411879000727,1,0.460337726439,3,0.597382277597,3
12333,2023-09-19 14:30:00,2023-09-19 17:00:00,2023-09-19 14:00:00,156268,2,156270,156280,27099.8,27188.8064444,Stop,0.328439488278,0.547399147131,10,19730,4,0.485088198526,1,0.412162448404,1,0.554136212152,3,0.515830797273,3
