ticket,open_time,close_time,signal_time,origin_bar,leg,entry_bar,exit_bar,entry_price,exit_price,exit_reason,pl_pct,R,bars_held,row_id,chunk,probability_random_kfold,fold_random_kfold,probability_grouped_kfold,fold_grouped_kfold,probability_walk_forward,fold_walk_forward,probability_purged_walk_forward,fold_purged_walk_forward
11093,2023-02-07 06:45:00,2023-02-07 18:15:00,2023-02-07 06:30:00,136766,1,136767,136813,22908.9,23105.5644444,Stop,0.858463062148,1.43077177025,46,17565,4,0.828438362765,3,0.486287785625,4,0.483920828338,3,0.6350481862,3
11094,2023-02-07 07:00:00,2023-02-07 18:15:00,2023-02-07 06:30:00,136766,2,136768,136813,22892.3,23107.0844444,Stop,0.938238815866,1.56373135978,45,17566,4,0.737147342638,4,0.385823205972,4,0.372217360191,3,0.27637450713,3
11095,2023-02-07 18:45:00,2023-02-08 03:15:00,2023-02-07 18:30:00,136814,1,136815,136849,22859.3,23200.7964444,Stop,1.49390595707,2.48984326178,34,17569,4,0.604469844742,4,0.487554632178,1,0.304431019657,3,0.269621938428,3
11096,2023-02-07 19:00:00,2023-02-08 05:15:00,2023-02-07 18:30:00,136814,2,136816,136857,22895.7,23199.1244444,Stop,1.32524641939,2.20874403232,41,17570,4,0.573800165725,5,0.468458236559,1,0.151002002408,3,0.149088392779,3
11097,2023-02-07 19:15:00,2023-02-08 05:15:00,2023-02-07 18:30:00,136814,3,136817,136857,23023.3,23193.2386667,Stop,0.738116024491,1.23019337415,40,17571,4,0.70651661088,3,0.768548375441,1,0.391908679487,3,0.38588909692,3
11098,2023-02-08 04:15:00,2023-02-08 12:45:00,2023-02-08 04:15:00,136853,0,136853,136887,23227.8,23088.4332,Stop,-0.6,-1,34,17572,4,0.383215024213,4,0.415708710347,5,0.414718889364,3,0.438773161537,3
11099,2023-02-08 04:30:00,2023-02-08 12:45:00,2023-02-08 04:15:00,136853,1,136854,136887,23238,23098.572,Stop,-0.6,-1,33,17573,4,0.409979946934,3,0.636666991227,5,0.482755961605,3,0.541000342683,3
11100,2023-02-08 04:45:00,2023-02-08 12:45:00,2023-02-08 04:15:00,136853,2,136855,136887,23213.4,23074.1196,Stop,-0.6,-1,32,17574,4,0.419324000727,5,0.701072499952,5,0.630604420188,3,0.580691519105,3
11101,2023-02-08 05:00:00,2023-02-08 12:45:00,2023-02-08 04:15:00,136853,3,136856,136887,23212.5,23073.225,Stop,-0.6,-1,31,17575,4,0.365092979185,3,0.695375970063,5,0.548957957053,3,0.600612737858,3
11102,2023-02-08 13:15:00,2023-02-08 15:00:00,2023-02-08 13:00:00,136888,1,136889,136896,23080.9,22942.4146,Stop,-0.6,-1,7,17577,4,0.282313230882,1,0.445218208623,4,0.171102049407,3,0.296725443653,3
